Gene_ID,Sample_1_Reads,Sample_2_Reads
43525,79,2
43525,196,0
43526,1395,1
43526,207,0
43527,141,160
43528,24,0
43529,1922,284
43530,8350,140
43531,3359,118
43532,601,2
43533,538,40
43534,2,0
43535,0,0
43709,80,0
43710,5065,28
43711,240,22
43712,38,6
43713,532,2
43714,726,52
43715,10357,3416
43716,2898,218
43717,15403,6
43718,1455,2
43719,2394,4
43720,0,0
43722,0,0
43800,0,0
A1BG,1938,0
A1BG-AS1,22,0
A1CF,0,2
A2M,4,37
A2M-AS1,6,0
A2ML1,89,0
A4GALT,139,2
A4GNT,0,0
AA06,0,0
AAAS,1150,0
AACS,1451,0
AACSP1,0,0
AADAC,0,0
AADACL2,0,0
AADACL3,2,0
AADACL4,0,0
AADACP1,9,0
AADAT,65,0
AAED1,795,0
AAGAB,2256,0
AAK1,1791,128
AAMDC,955,12
AAMP,4156,20
AANAT,20,0
AAR2,2121,0
AARD,138,0
AARS,50415,20
AARS2,1027,0
AARSD1,1240,0
AASDH,658,0
AASDHPPT,1311,0
AASS,40,2
AATBC,68,0
AATF,2966,6
AATK,133,0
ABAT,272,0
ABCA1,380,48
ABCA10,103,0
ABCA11P,51,0
ABCA12,93,0
ABCA13,7,0
ABCA17P,8,0
ABCA2,8840,18
ABCA3,870,0
ABCA4,80,0
ABCA5,268,18
ABCA6,0,0
ABCA7,906,2
ABCA8,0,0
ABCA9,0,0
ABCB1,41,12
ABCB10,823,2
ABCB11,4,0
ABCB4,2,2
ABCB5,0,0
ABCB6,449,6
ABCB7,1077,72
ABCB8,293,0
ABCB9,241,18
ABCC1,2779,2
ABCC10,1537,2
ABCC11,139,0
ABCC12,0,0
ABCC13,0,0
ABCC2,18,10
ABCC3,2627,4
ABCC4,166,0
ABCC5,1719,216
ABCC6,64,2
ABCC6P1,12,0
ABCC6P2,36,0
ABCC8,2,0
ABCC9,2,0
ABCD1,541,2
ABCD2,0,0
ABCD3,2942,104
ABCD4,703,16
ABCE1,6622,598
ABCF1,0,0
ABCF2,1486,479
ABCF3,5134,8
ABCG1,149,18
ABCG2,50,0
ABCG4,10,0
ABCG5,2,0
ABCG8,0,0
ABHD1,46,0
ABHD10,4506,0
ABHD11,582,2
ABHD11-AS1,14,0
ABHD12,5179,86
ABHD12B,0,0
ABHD13,920,0
ABHD14A,419,0
ABHD14B,3661,2
ABHD15,318,0
ABHD16A,0,0
ABHD16B,329,0
ABHD17A,5237,2
ABHD17AP3,50,0
ABHD17B,701,84
ABHD17C,541,216
ABHD18,663,2
ABHD2,1200,50
ABHD3,1775,0
ABHD4,2542,62
ABHD5,784,0
ABHD6,167,0
ABHD8,5348,0
ABI1,4368,1084
ABI2,4224,62
ABI3,0,0
ABI3BP,49,6
ABL1,5469,283
ABL2,1797,148
ABLIM1,1890,5
ABLIM2,201,0
ABLIM3,2666,5
ABO,20,0
ABR,1125,70
ABRA,0,0
ABRACL,2125,0
ABRAXAS1,194,0
ABRAXAS2,2272,12
ABT1,2763,0
ABTB1,1132,0
ABTB2,2353,100
ACAA1,1193,2
ACAA2,1598,0
ACACA,3806,314
ACACB,190,2
ACAD10,297,0
ACAD11,499,4
ACAD8,974,79
ACAD9,2141,0
ACADL,8,0
ACADM,1939,0
ACADS,731,4
ACADSB,873,4
ACADVL,23903,17
ACAN,2,0
ACAP1,52,3
ACAP2,6633,16
ACAP3,874,4
ACAT1,2613,104
ACAT2,899,0
ACBD3,9217,32
ACBD4,1113,26
ACBD5,2581,52
ACBD6,2163,2
ACBD7,804,2
ACCS,73,4
ACCSL,0,0
ACD,4288,0
ACE,303,0
ACE2,562,0
ACER1,4,0
ACER2,127,0
ACER3,644,0
ACHE,88,0
ACIN1,7286,786
ACKR1,0,0
ACKR2,333,0
ACKR3,0,36
ACKR4,15,0
ACLY,11334,936
ACMSD,0,0
ACO1,2524,6
ACO2,2914,1
ACOD1,0,0
ACOT1,260,0
ACOT11,208,0
ACOT12,0,0
ACOT13,1509,0
ACOT2,980,0
ACOT4,454,0
ACOT6,8,0
ACOT7,4739,0
ACOT8,1254,0
ACOT9,1418,2
ACOX1,1475,2
ACOX2,13,2
ACOX3,326,0
ACOXL,215,0
ACOXL-AS1,0,0
ACP1,5779,8
ACP2,529,0
ACP4,52,0
ACP5,21,0
ACP6,635,0
ACP7,449,0
ACPP,64,0
ACR,42,0
ACRBP,6,0
ACRV1,3,0
ACSBG1,35,0
ACSBG2,4,0
ACSF2,3191,2
ACSF3,953,2
ACSL1,2916,6
ACSL3,3753,6
ACSL4,2920,428
ACSL5,1202,6
ACSL6,29,0
ACSM1,0,0
ACSM2A,0,3
ACSM2B,0,0
ACSM3,125,0
ACSM4,83,0
ACSM5,0,4
ACSM6,8,0
ACSS1,115,2
ACSS2,4717,36
ACSS3,8,4
ACTA1,6,405
ACTA2,48,2976
ACTA2-AS1,0,0
ACTB,82896,1187
ACTBL2,32,0
ACTC1,0,2
ACTG1,72486,507
ACTG1P17,10,0
ACTG1P20,16,0
ACTG1P4,6,0
ACTG2,10,2564
ACTL10,7,0
ACTL6A,10793,96
ACTL6B,4,0
ACTL7A,0,0
ACTL7B,0,0
ACTL8,20,0
ACTL9,0,0
ACTN1,21848,7035
ACTN2,12,0
ACTN3,4,0
ACTN4,50909,4998
ACTR10,2271,42
ACTR1A,3141,493
ACTR1B,2389,28
ACTR2,14094,1414
ACTR3,10164,2668
ACTR3B,717,0
ACTR3BP2,0,0
ACTR3C,77,2
ACTR5,344,0
ACTR6,1735,4
ACTR8,1124,2
ACTRT1,0,0
ACTRT2,0,0
ACTRT3,123,0
ACVR1,298,50
ACVR1B,1057,40
ACVR1C,4,0
ACVR2A,148,210
ACVR2B,320,8
ACVR2B-AS1,34,0
ACVRL1,23,2
ACY1,1599,2
ACY3,8,0
ACYP1,1082,0
ACYP2,240,0
ADA,1395,0
ADA2,8,0
ADAD1,0,0
ADAD2,2,0
ADAL,250,0
ADAM10,6893,1136
ADAM11,171,0
ADAM12,129,0
ADAM15,4670,1
ADAM17,1946,8
ADAM18,0,0
ADAM19,177,26
ADAM2,0,0
ADAM20,4,0
ADAM21,11,0
ADAM21P1,0,0
ADAM22,34,10
ADAM23,8,12
ADAM28,0,0
ADAM29,0,0
ADAM30,0,0
ADAM32,1,0
ADAM33,2,0
ADAM3A,0,0
ADAM5,0,0
ADAM6,0,0
ADAM7,0,0
ADAM8,172,0
ADAM9,6950,2
ADAMDEC1,0,0
ADAMTS1,404,0
ADAMTS10,89,38
ADAMTS12,1114,0
ADAMTS13,138,0
ADAMTS14,121,0
ADAMTS15,25,0
ADAMTS16,6,0
ADAMTS17,68,0
ADAMTS18,15,0
ADAMTS19,2,0
ADAMTS2,50,22
ADAMTS20,1,0
ADAMTS3,4,0
ADAMTS4,18,2
ADAMTS5,9,12
ADAMTS6,4,257
ADAMTS7,137,0
ADAMTS7P1,1,0
ADAMTS8,2,0
ADAMTS9,334,6
ADAMTS9-AS2,0,0
ADAMTSL1,4,12
ADAMTSL2,0,0
ADAMTSL3,27,2
ADAMTSL4,1760,2
ADAMTSL5,494,0
ADAP1,4654,0
ADAP2,48,0
ADAR,9941,10
ADARB1,331,8
ADARB2,2,0
ADARB2-AS1,0,0
ADAT1,1274,0
ADAT2,303,0
ADAT3,105,0
ADCK1,178,0
ADCK2,938,2
ADCK5,1231,0
ADCY1,398,0
ADCY10,6,0
ADCY10P1,29,0
ADCY2,0,30
ADCY3,2613,54
ADCY4,0,28
ADCY5,14,46
ADCY6,3460,100
ADCY7,2984,0
ADCY8,0,0
ADCY9,1212,0
ADCYAP1,298,0
ADCYAP1R1,3,0
ADD1,1863,785
ADD2,1720,0
ADD3,1315,0
ADD3-AS1,2,0
ADGB,0,0
ADGRA1,0,0
ADGRA2,368,2
ADGRA3,452,8
ADGRB1,101,2
ADGRB2,705,5
ADGRB3,0,2
ADGRD1,4,0
ADGRD2,8,0
ADGRE1,0,0
ADGRE2,123,0
ADGRE3,0,0
ADGRE4P,2,0
ADGRE5,5552,4
ADGRF1,1198,0
ADGRF2,2,0
ADGRF3,29,2
ADGRF4,84,0
ADGRF5,6,2
ADGRG1,10507,2
ADGRG2,6,36
ADGRG3,13,0
ADGRG4,0,0
ADGRG5,10,2
ADGRG6,1144,14
ADGRG7,0,0
ADGRL1,15819,366
ADGRL2,78,50
ADGRL3,6,18
ADGRL4,0,0
ADGRV1,28,0
ADH1A,0,0
ADH1B,0,0
ADH1C,0,0
ADH4,2,0
ADH5,4391,2
ADH6,2,0
ADH7,1,0
ADHFE1,18,0
ADI1,4185,2
ADIG,0,0
ADIPOQ,0,0
ADIPOR1,11314,911
ADIPOR2,6983,88
ADIRF,0,0
ADIRF-AS1,2,1
ADK,3014,398
ADM,3046,4
ADM2,547,0
ADM5,106,0
ADNP,1964,361
ADNP2,623,2
ADO,881,22
ADORA1,107,2
ADORA2A,291,0
ADORA2A-AS1,12,0
ADORA2B,726,58
ADORA3,7,2
ADPGK,1078,369
ADPGK-AS1,1,0
ADPRH,431,0
ADPRHL1,187,0
ADPRHL2,1321,0
ADPRM,277,0
ADRA1A,0,0
ADRA1B,2,38
ADRA1D,144,0
ADRA2A,0,18
ADRA2B,31,0
ADRA2C,346,0
ADRB1,66,2
ADRB2,8,0
ADRB3,0,0
ADRM1,13482,12
ADSL,1505,10
ADSS,1243,292
ADSSL1,536,46
ADTRP,151,0
AEBP1,12,446
AEBP2,2459,520
AEN,502,0
AES,20891,8
AFAP1,6350,0
AFAP1-AS1,1343,0
AFAP1L1,4605,2
AFAP1L2,319,0
